Code zone,Code zone (M49),Zone,Code Produit,Produit,Code Élément,Élément,Code édition,Édition,Unité,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"2","'004","Afghanistan","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,"O",,"O",,"O",,"O",,"O"
"2","'004","Afghanistan","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"2","'004","Afghanistan","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"2","'004","Afghanistan","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"2","'004","Afghanistan","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"2","'004","Afghanistan","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"202","'710","Afrique du Sud","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.05","E","3.08","E","3.12","E","3.19","E","3.39","E","3.74","E"
"202","'710","Afrique du Sud","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.63","E",,,,,,,"0.56","E",,
"202","'710","Afrique du Sud","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.06","E",,,,,,,"1.08","E",,
"202","'710","Afrique du Sud","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.85","E",,,,,,,"0.31","E",,
"202","'710","Afrique du Sud","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.7","E",,,,,,,"0.68","E",,
"202","'710","Afrique du Sud","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.73","E",,,,,,,"0.66","E",,
