,France,Chine,Inde,Italie,Japon,Mexique,Espagne,Thaïlande,USA,Grèce
chicken,9,8,8,8,8,8,8,8,9,8
chicken breast,9,8,8,8,8,8,8,8,9,8
chicken legs,9,8,8,8,8,8,8,8,9,8
chicken thighs,9,8,8,8,8,8,8,8,9,8
chicken wings,8,9,8,7,8,8,7,8,9,7
chicken drumsticks,8,8,8,7,8,8,7,8,9,7
beef,9,7,6,8,8,9,8,6,9,8
beef brisket,8,6,5,7,7,8,7,5,9,7
ground beef,9,6,5,8,7,9,8,5,9,8
ground turkey,8,5,4,6,6,7,6,4,9,6
ground pork,8,9,5,8,8,8,9,7,8,7
ground lamb,7,5,8,7,5,6,8,5,7,9
pork,9,9,4,9,8,8,9,7,8,8
pork chops,9,9,4,9,8,8,9,7,8,8
pork tenderloin,8,8,4,8,8,7,8,6,8,7
bacon,9,7,4,8,7,8,8,5,9,7
lamb,7,5,8,7,5,6,8,5,7,9
lamb leg,7,5,8,7,5,6,8,5,7,9
duck,8,9,6,7,8,6,7,7,7,6
veal,8,6,5,9,7,7,8,5,7,8
salmon,8,7,6,8,9,7,8,7,8,8
whitefish fillets,8,8,7,8,9,7,8,8,8,9
prawns,7,8,8,7,8,7,8,9,7,8
king prawns,7,8,8,7,8,7,8,9,7,8
clams,7,8,7,8,9,7,8,8,8,9
shrimp,7,8,8,7,8,8,8,9,8,8
mussels,8,7,6,9,8,7,9,7,7,9
lobster,7,7,6,7,8,7,7,7,8,8
octopus,6,7,5,8,9,7,8,7,6,9
cheese,9,5,6,9,6,7,9,5,8,9
cheddar cheese,8,4,5,7,5,6,7,4,9,5
mozzarella,8,4,5,9,5,7,8,4,8,7
parmesan,8,4,5,9,5,6,8,4,7,6
feta,7,4,5,8,5,6,7,4,7,10
ricotta cheese,7,3,4,9,4,5,7,3,7,6
mascarpone,7,3,4,9,4,5,7,3,6,5
cream cheese,8,5,6,7,6,7,7,5,9,6
goat cheese,9,4,5,8,5,6,8,4,7,9
cream,9,6,7,9,7,8,9,6,9,8
greek yogurt,8,5,7,8,6,7,8,5,8,10
rice,8,9,9,8,9,8,8,9,8,7
basmati rice,7,8,9,7,8,7,7,8,7,6
sushi rice,7,9,8,7,9,7,7,8,7,6
arborio rice,7,6,7,9,7,6,8,6,6,7
pasta,9,7,7,9,8,8,9,7,9,8
rice noodles,6,9,8,6,8,6,6,9,7,6
macaroni,8,7,7,8,7,7,8,7,9,7
noodles,7,9,8,7,9,7,7,9,8,6
udon noodles,6,8,7,6,9,6,6,8,7,5
basil,8,7,8,9,7,8,9,8,8,9
parsley,9,7,8,9,7,8,9,7,8,9
thyme,9,6,7,8,6,8,8,7,8,9
rosemary,9,6,7,9,6,8,9,6,8,9
oregano,8,6,7,9,6,9,9,7,8,10
ginger,7,9,9,7,9,7,7,9,8,7
lemongrass,6,8,8,6,8,6,6,9,7,6
coriander,7,9,9,7,8,9,8,9,8,8
mint,8,8,9,8,8,8,8,9,8,9
kaffir lime leaves,5,8,8,5,8,6,5,9,6,5
soy sauce,7,9,8,7,9,7,7,9,8,6
fish sauce,6,8,7,6,8,6,6,9,7,7
oyster sauce,6,9,7,6,9,6,6,9,7,6
tomato sauce,9,7,8,9,7,9,9,7,9,9
hot sauce,8,8,9,8,8,9,8,9,9,7
butter,9,7,8,9,7,8,9,7,9,8
olive oil,9,7,7,9,7,8,9,7,8,10
vegetable oil,9,9,9,9,9,9,9,9,9,9
sesame oil,7,9,8,7,9,7,7,9,8,7
pineapple,7,8,8,7,8,8,7,9,8,7
peaches,8,7,7,8,7,8,8,7,9,8
pears,9,8,7,9,8,8,9,7,9,8
apples,9,8,7,9,8,8,9,7,9,8
raisins,8,7,8,8,7,8,8,7,8,8
eggs,9,9,9,9,9,9,9,9,9,9
tofu,7,9,8,7,9,7,7,9,8,6
sugar,9,9,9,9,9,9,9,9,9,9
honey,9,8,8,9,8,8,9,8,9,9
