Plat,Pays,Catégorie,Protéines (g),Lipides (g),Glucides (g),Calories (kcal),Fibres (g),Sucres (g)
Beef Brisket Pot Roast,ÉTATS-UNIS,Viande,73.95,183.93999999999997,63.17,2199.0,21.0,0
Big Mac,ÉTATS-UNIS,Fast-food,115.25200000000001,225.84380000000002,122.88999999999999,3050.0,13.7,0
Chicken Fajita Mac and Cheese,ÉTATS-UNIS,Fusion,116.11,343.93,75.15,3851.0,16.4,0
Chick-Fil-A Sandwich,ÉTATS-UNIS,Fast-food,133.17999999999998,197.05999999999997,200.5,2954.0,15.059999999999999,0
Mac and Cheese,ÉTATS-UNIS,Comfort-food,116.11,343.93,75.15,3851.0,16.4,0
Pancakes,ÉTATS-UNIS,Petit-déjeuner,23.810000000000002,102.33,203.58,1475.0,11.56,0
Pizza Express Margherita,ÉTATS-UNIS,Pizza,82.19000000000001,228.96999999999997,215.89,3368.0,34.6,0
Beef Lo Mein,CHINE,Nouilles,107.27999999999999,250.6,225.5,3527.0,29.000000000000004,0
Chicken Congee,CHINE,Soupe,56.28000000000001,91.67,46.28,1231.0,11.399999999999999,0
Egg Drop Soup,CHINE,Soupe,88.17999999999999,177.42000000000002,220.18,2778.0,25.0,0
General Tso's Chicken,CHINE,Volaille,218.86000000000007,260.56999999999994,339.84000000000003,4535.0,25.2,0
Kung Pao Chicken,CHINE,Volaille,112.95000000000002,152.61999999999998,270.09000000000003,2972.0,22.5,0
Ma Po Tofu,CHINE,Végétarien,89.83,338.36999999999995,75.49000000000001,3641.0,28.799999999999997,0
Sweet and Sour Pork,CHINE,Viande,82.61,120.535,142.45999999999998,1968.0,12.27,0
Coq au Vin,FRANCE,Volaille,150.85999999999999,272.075,193.83999999999997,4072.0,27.07,0
French Onion Soup,FRANCE,Soupe,32.53,225.32999999999998,242.1,3196.0,6.0,0
Ratatouille,FRANCE,Végétarien,7.149,175.481,126.58,2148.0,5.87,0
Tarte Tatin,FRANCE,Dessert,18.48,70.61,269.8,1776.0,5.3,0
Duck Confit,FRANCE,Volaille,23.08,127.73599999999999,90.38,1611.0,11.4,0
Gigantes Plaki,GRÈCE,Végétarien,19.349999999999998,184.39499999999995,238.79999999999998,2611.0,21.97,0
Greek Salad,GRÈCE,Salade,64.39,214.98999999999998,251.24,2983.0,14.7,0
Moussaka,GRÈCE,Viande,74.28999999999999,49.565000000000005,64.53999999999999,2303.0,6.97,0
Souvlaki,GRÈCE,Viande,46.620000000000005,241.78,101.78,2720.0,17.3,0
Tzatziki,GRÈCE,Sauce,54.71,207.35999999999999,188.74,2841.0,10.5,0
Garides Saganaki,GRÈCE,Fruits de mer,78.45,240.16999999999996,43.91,2729.0,4.999999999999999,0
Dal Fry,INDE,Végétarien,100.17999999999999,333.506,216.19,3655.0,37.580000000000005,0
Rogan Josh,INDE,Viande,52.78,304.976,91.18,3279.0,12.3,0
Tandoori Chicken,INDE,Volaille,113.85,217.84,117.17999999999999,3024.0,9.0,0
Biryani,INDE,Riz,181.07000000000002,351.576,362.36,3615.0,29.16,0
Carbonara,ITALIE,Pâtes,77.22000000000001,156.36999999999998,71.13,4293.0,17.599999999999998,0
Lasagna,ITALIE,Pâtes,30.93,49.82000000000001,179.52000000000004,934.0,19.86,0
Osso Buco,ITALIE,Viande,69.76,270.126,197.26999999999998,3156.0,24.46,0
Risotto,ITALIE,Riz,62.88,48.57,162.47,2927.0,11.9,0
Spaghetti Bolognese,ITALIE,Pâtes,79.13999999999999,267.465,149.15,4589.0,16.77,0
Sushi,JAPON,Poisson,13.52,76.52999999999999,140.03,1528.0,2.3,0
Teriyaki Chicken,JAPON,Volaille,71.69000000000001,102.36,139.83,1754.0,7.8,0
Tonkatsu,JAPON,Viande,42.9,111.44,241.12,1781.0,4.26,0
Udon,JAPON,Nouilles,38.47,64.715,192.07,1407.0,23.269999999999996,0
Paella,ESPAGNE,Riz,35.14,91.8,132.51000000000002,1731.0,26.200000000000003,0
Pisto,ESPAGNE,Végétarien,62.06,113.63,121.46000000000001,2739.0,8.1,0
