Plat,Pays,Catégorie,Protéines (g),Lipides (g),Glucides (g),Calories (kcal),Fibres (g),Sucres (g),Sodium (mg),Score_Sante,Categorie_Sante
Couscous,FRANCE,Plat principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,À éviter
Pizza,FRANCE,Fast-food,43.514150943396224,24.64622641509434,231.83962264150944,589.622641509434,0.0,0.0,466.98113207547175,5.7,Moyen
Steak-frites,FRANCE,Plat principal,166.07027755532548,116.02242318885872,17.90729925581577,1765.5155575522,0.35158310057229913,0.0,2391.8022540383226,1.5,À éviter
Blanquette de veau,FRANCE,Viande,35.495379083682124,110.52557656113935,53.97904435517851,1422.5736677996572,7.2586308604174254,0.0,759.3640270794124,4.9,Peu sain
Boeuf bourguignon,FRANCE,Viande,61.198265246024526,32.08759436740376,106.71414038657173,603.3999036247792,6.553515018471917,0.0,876.1578411950528,5.9,Moyen
Ratatouille,FRANCE,Végétarien,106.2154390621544,96.88122096881222,96.90333996903341,1687.4585268745852,10.130502101305025,0.0,2980.867064808671,3.0,À éviter
Cassoulet,FRANCE,Plat principal,122.10573949769969,48.86492193981447,129.02933856248586,1459.3408250999323,0.5581114714533525,0.0,1571.1139603288332,2.9,À éviter
Quiche Lorraine,FRANCE,Tarte salée,113.64139457664639,97.99391256225789,88.36469286109576,3351.7570558937464,6.972883231876039,0.0,3441.2008854454903,2.7,À éviter
Croque-monsieur,FRANCE,Sandwich,71.71663952485869,60.60925375993869,167.67410671520258,2594.601973369097,2.2415940224159403,0.0,2148.797777564901,1.8,À éviter
Sushi,JAPON,Poisson,65.41719228689853,28.18525860515408,206.39754910794738,1116.8679041268695,21.49936925572175,0.0,8674.98648405118,5.1,Moyen
Ramen,JAPON,Nouilles,40.64129804906316,48.213250917519794,211.14545103341703,1581.1280664477495,15.337067799884103,0.0,4202.240679930462,4.5,Peu sain
Tempura,JAPON,Friture,41.297093176429264,115.46061297971372,143.24229384385703,3641.3234390093967,24.1459559146395,0.0,664.9029595152367,3.7,À éviter
Tonkatsu,JAPON,Viande,79.97047244094486,91.78149606299213,28.248031496062993,1270.6692913385828,3.0757874015748032,0.0,3023.745078740158,2.8,À éviter
Gyoza,JAPON,Entrée,112.267933408873,97.7948226270374,89.9372439640896,1691.7981347511552,7.5176501350998,0.0,1833.2606990325114,3.1,À éviter
Okonomiyaki,JAPON,Street-food,88.64519363328738,126.61987717759116,84.73492918912143,1774.595814011781,18.799348289259303,0.0,4253.603208422108,3.2,À éviter
Miso soup,JAPON,Soupe,42.618694362017806,19.473293768545993,237.90801186943622,1295.8086053412462,11.350148367952523,0.0,2332.3442136498516,5.5,Moyen
Takoyaki,JAPON,Street-food,95.9001782531194,11.688311688311687,192.41151005856887,1071.6832187420423,14.56582633053221,0.0,4803.66692131398,4.5,Peu sain
Teriyaki,JAPON,Sauce,192.2052097832571,87.51242791807516,20.282362298667728,1652.7142573076155,0.0,0.0,2398.926227878306,1.7,À éviter
Pizza Margherita,ITALIE,Pizza,6.048387096774194,182.66129032258064,111.29032258064515,2104.8387096774195,1.209677419354839,0.0,15.725806451612906,2.7,À éviter
Pasta Carbonara,ITALIE,Pâtes,95.86383601756954,66.5446559297218,137.59150805270863,1494.7840409956077,32.55856515373353,0.0,5934.278916544657,3.1,À éviter
Lasagna,ITALIE,Pâtes,114.82975900950699,64.5699756798585,120.60026531063451,1688.619279239443,16.59849657307097,0.0,3169.798806102144,3.1,À éviter
Risotto,ITALIE,Riz,85.52251732101617,115.96420323325636,98.51327944572748,1467.9561200923788,2.598152424942263,0.0,6803.954965357967,2.5,À éviter
Osso Buco,ITALIE,Viande,95.94717550107885,54.368679647490055,49.6841448514311,1042.2284035666935,4.814516338679907,0.0,1843.4814256375594,4.1,Peu sain
Tiramisu,ITALIE,Dessert,48.96815513253869,48.4744707347447,202.5573741327166,1422.0112079701119,6.537982565379825,0.0,966.887564490304,4.0,Peu sain
Gnocchi,ITALIE,Pâtes,116.36921360847741,25.34857780256553,158.28220858895708,831.5672058003347,0.0,0.0,261.0150585610708,4.8,Peu sain
Pesto alla Genovese,ITALIE,Sauce,93.0025600390101,140.39985371205657,66.59758624893331,4786.322077288796,4.388638303059857,0.0,4016.4817749603803,2.3,À éviter
Pasta all'Arrabbiata,ITALIE,Pâtes,74.13634269921695,54.99769691386457,170.86596038691846,1241.939198526025,30.05527406725011,0.0,3620.7968678028556,3.6,À éviter
Vitello Tonnato,ITALIE,Viande,75.54591331415368,70.26364193746167,54.19044474838468,3391.171060698958,6.602839220864973,0.0,1626.9867471584212,2.6,À éviter
Mapo Tofu,CHINE,Végétarien,43.01581958936384,47.70111073712555,209.2830696735106,1415.483002356109,26.698081454055874,0.0,3577.987209693707,4.6,Peu sain
Tacos al Pastor,MEXIQUE,Street-food,72.28972276297242,85.29905350070484,142.41122373632277,1598.5768946767807,17.386050882728068,0.0,1284.2182989863732,2.8,À éviter
Guacamole,MEXIQUE,Sauce,59.05478525532634,81.82279337166047,159.1224213730132,3299.0784578965167,4.74298275278999,0.0,3059.3929658437605,2.2,À éviter
Enchiladas,MEXIQUE,Plat principal,113.24669603524231,74.78854625550662,111.9647577092511,1428.3568281938326,12.026431718061675,0.0,1941.7136563876652,3.2,À éviter
Mole Poblano,MEXIQUE,Sauce,93.35032632139156,72.53578331139185,134.1138903672166,1542.250917341251,19.579283493459567,0.0,2664.8917397271784,2.9,À éviter
Chiles en Nogada,MEXIQUE,Plat principal,127.90972300485585,117.88145019428373,54.20882680086042,1819.2539309986619,5.387513903656846,0.0,2299.4041639921006,2.5,À éviter
Pozole,MEXIQUE,Soupe,91.98152617898256,84.03035647976235,123.9881173412551,1577.569160787226,7.171370219086521,0.0,2348.261696992202,2.6,À éviter
Tamales,MEXIQUE,Street-food,69.04350139683385,38.5127045363842,192.44379406678195,1385.3398962352,18.278568577890113,0.0,2713.728881202607,4.0,Peu sain
Cochinita Pibil,MEXIQUE,Viande,70.05058168942843,66.9549822964087,62.99443601416288,1138.11330298432,4.75467880627213,0.0,1359.914011127972,3.9,À éviter
Quesadillas,MEXIQUE,Street-food,103.92104382736701,178.91602542656406,17.16293074606892,311.8233522917364,0.4416192706590833,0.0,3042.796922047508,2.7,À éviter
Ceviche,MEXIQUE,Poisson,96.58442186744075,120.45476536042572,82.96081277213354,1800.338655055636,14.79438800193517,0.0,2904.983067247218,3.2,À éviter
Paella Valenciana,ESPAGNE,Riz,94.26764381086237,75.30368436903925,130.42867182009837,1496.3357092661379,5.370946692099187,0.0,3378.05441220761,2.5,À éviter
Tortilla Española,ESPAGNE,Omelette,147.82398452611218,6.963249516441006,145.21276595744683,760.5899419729208,20.16441005802708,0.0,123.1624758220503,5.5,Moyen
Gazpacho,ESPAGNE,Soupe,24.03166226912929,16.496042216358834,259.47229551451187,1037.5725593667546,12.569920844327177,0.0,7653.910290237467,6.6,Sain
Patatas Bravas,ESPAGNE,Tapas,65.1559682051967,83.98236590742101,150.86166588738223,1621.9457618061583,13.496092445394428,0.0,3592.0646583394564,3.0,À éviter
Churros,ESPAGNE,Dessert,80.31827755675168,107.41867540369762,112.26304703955066,1393.9854902878537,0.0,0.0,53.00725485607301,2.5,À éviter
Croquetas,ESPAGNE,Tapas,66.79714483076214,49.06170849643103,184.14114667280683,705.4455445544553,6.717706654386368,0.0,576.790237163251,4.8,Peu sain
Pulpo a la Gallega,ESPAGNE,Fruits de mer,69.24508090432428,122.0161244855387,108.73879461013698,1723.3466764390819,30.6985397756103,0.0,1902.0409313863672,3.1,À éviter
Albondigas,ESPAGNE,Viande,78.72588604755497,73.9165545087483,47.35755944369672,1180.439659039928,3.0865859129654547,0.0,3427.90489008524,3.1,À éviter
Moussaka,GRÈCE,Plat principal,102.77815981295556,159.1699903727135,38.0518498143309,2010.8478888736072,3.5792875808004396,0.0,4150.993673497454,2.0,À éviter
Souvlaki,GRÈCE,Viande,122.19480672071437,16.613793913758666,61.19139936552696,1244.930090471155,11.608506638467864,0.0,1669.9330278463165,5.4,Moyen
Gyros,GRÈCE,Street-food,114.31296572280179,71.98211624441133,113.70491803278689,964.5961251862892,16.453055141579732,0.0,2455.3859910581223,3.8,À éviter
Dolmades,GRÈCE,Entrée,102.17742867044012,100.23680258750143,97.58576874205846,1690.8571098532982,12.336837241538642,0.0,4545.22351853991,2.9,À éviter
Tzatziki,GRÈCE,Sauce,39.1609756097561,219.01463414634145,41.824390243902435,2294.048780487805,16.770731707317072,0.0,1419.0731707317073,4.2,Peu sain
Spanakopita,GRÈCE,Tarte salée,77.84327675576787,104.76674458786462,117.38997865636752,1727.98048582173,16.038215265779044,0.0,2932.9200121963613,2.7,À éviter
Saganaki,GRÈCE,Fromage,38.32816464617987,58.161826895968424,203.51000845785174,715.6470256554836,12.235692134197913,0.0,2136.5943050465185,5.7,Moyen
Pastitsio,GRÈCE,Pâtes,123.24778628245537,64.07023863124718,112.68197508629747,1502.0561308719798,13.40237130421732,0.0,3213.6425033768573,3.4,À éviter
Baklava,GRÈCE,Dessert,60.67244014263882,122.92409577177789,116.40346408558331,1824.75802343352,3.8206826286296485,0.0,1235.8634742740703,2.6,À éviter
Greek Salad,GRÈCE,Salade,96.07822685788787,98.23728813559323,105.6844850065189,1689.3872229465449,15.238591916558018,0.0,4300.443285528032,2.9,À éviter
Butter Chicken,INDE,Volaille,76.6655074767748,152.45913855631176,70.87535396691342,3331.7750509215566,11.252421878881217,0.0,4281.255899448557,2.9,À éviter
Biryani,INDE,Riz,58.375982694032636,206.27868938954254,35.34532791642484,2225.9800559278224,4.337044267398302,0.0,3940.1414024165047,2.8,À éviter
Samosas,INDE,Entrée,58.79386083844026,87.13053853245839,154.07560062910136,1459.108411519063,6.529638266717284,0.0,1382.6888659905635,3.1,À éviter
